date,close
2026-01-05,10.00
2026-01-06,10.20
2026-01-07,10.10
2026-01-08,10.40
2026-01-09,10.70
2026-01-12,10.60
2026-01-13,10.90
2026-01-14,11.10
2026-01-15,10.80
2026-01-16,10.50
2026-01-19,10.30
2026-01-20,10.00
2026-01-21,9.80
2026-01-22,9.90
2026-01-23,10.10
2026-01-26,10.40
2026-01-27,10.70
2026-01-28,11.00
2026-01-29,11.30
2026-01-30,11.20
2026-02-02,11.50
2026-02-03,11.80
2026-02-04,11.60
2026-02-05,11.90
2026-02-06,12.20
2026-02-09,12.00
2026-02-10,11.70
2026-02-11,11.50
2026-02-12,11.80
2026-02-13,12.10
2026-02-16,12.40
2026-02-17,12.60
2026-02-18,12.30
2026-02-19,12.70
2026-02-20,13.00
